Match ID,Map,Time,Killer X,Killer Y,Victim X,Victim Y
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,331,411597.2,185951.4,404446.3,193964.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,780,381075.3,280834.7,407802.8,246489.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,884,364596.8,432954.5,366670.6,424545.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,651,421409.5,284009.0,363693.6,269831.2
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,884,370979.8,428151.0,361221.8,425819.3
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,600,434681.4,281067.1,367543.2,249424.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,527,375674.3,444623.1,365746.3,440418.2
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,331,399952.0,179802.0,402157.0,188203.3
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,415,315037.2,357087.6,315037.2,357087.6
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,133,431792.8,184813.7,431640.2,185447.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,293,376656.4,433869.2,378991.8,445584.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,121,438738.1,280966.6,439108.5,280929.3
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,268,398383.3,280131.0,432857.9,278070.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,864,,,308988.8,397375.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,618,314694.8,357176.9,314933.5,357130.6
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,562,314835.7,357184.0,314902.3,357083.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1197,510511.3,426254.8,510892.3,426137.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1198,510511.3,426254.8,510511.3,426254.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,112,436263.6,281389.4,436283.3,281157.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1054,349797.6,343848.1,370250.8,428695.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1021,349380.6,327626.6,366575.8,424470.9
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,133,423685.9,187566.7,424296.1,187408.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1054,348903.1,332489.3,370948.3,426918.9
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,331,408406.3,181823.0,403565.2,194126.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,112,439117.9,279917.2,439285.2,280126.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,956,356686.9,318206.2,302778.0,388733.7
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,780,381091.5,280262.6,407818.1,249801.2
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,98,435831.1,281338.4,435850.6,281199.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1150,369531.2,346066.6,441372.2,278914.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,143,439105.6,281907.3,437961.1,281811.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,307,428125.0,528350.6,428281.9,528305.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,392,435051.1,277987.2,382624.2,294759.2
